# 实体清单（T0 全量覆盖）—— 脚本产出，⛔ 不许手写
# 口径：每行 = 一个盘上真实实体；`状态数` = 该实体在 策划/状态矩阵.tsv 里展开的行数
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md（三张 .tsv 按「稳定排序、两次运行逐字节相同」硬要求不写挂钟时刻）
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
# 判据类型：脚本断言 / 参考物比对 / 并排图 / 阻塞(登记)
维度	实体	载体/路径	出处	状态数	判据类型	归属片
D1资源	bgm:bloodmoor	client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav	client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav	3	脚本断言	D1D2D3资产与几何
D1资源	bgm:denofevil	client/Assets/Resources/Clover/Sound/BGM/denofevil.wav	client/Assets/Resources/Clover/Sound/BGM/denofevil.wav	3	脚本断言	D1D2D3资产与几何
D1资源	bgm:town	client/Assets/Resources/Clover/Sound/BGM/town.wav	client/Assets/Resources/Clover/Sound/BGM/town.wav	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/cave	client/Assets/Resources/Clover/D2/Objects/cave/manifest.json	client/Assets/Resources/Clover/D2/Objects/cave/manifest.json:1 (kind=Objects tileCount=16)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/cave_door	client/Assets/Resources/Clover/D2/Objects/cave_door/manifest.json	client/Assets/Resources/Clover/D2/Objects/cave_door/manifest.json:1 (kind=Objects tileCount=4)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_bridge	client/Assets/Resources/Clover/D2/Objects/moor_bridge/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_bridge/manifest.json:1 (kind=Objects tileCount=20)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_cliff1	client/Assets/Resources/Clover/D2/Objects/moor_cliff1/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_cliff1/manifest.json:1 (kind=Objects tileCount=13)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_cliff2	client/Assets/Resources/Clover/D2/Objects/moor_cliff2/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_cliff2/manifest.json:1 (kind=Objects tileCount=13)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_corner	client/Assets/Resources/Clover/D2/Objects/moor_corner/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_corner/manifest.json:1 (kind=Objects tileCount=3)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_fence	client/Assets/Resources/Clover/D2/Objects/moor_fence/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_fence/manifest.json:1 (kind=Objects tileCount=23)	3	脚本断言	D1D2D3资产与几何
D1资源	pack:Objects/moor_objects	client/Assets/Resources/Clover/D2/Objects/moor_objects/manifest.json	client/Assets/Resources/Clover/D2/Objects/moor_objects/manifest.json:1 (kind=Objects tileCount=7)	3	脚本断言	D1D2D3资产与几何
