# 差异登记（只允许「允许的差异」；四要素缺一 = 未登记 = 不许交付）
# 口径：逐条搬运自 策划/验收表.md 的「允许的差异」区（行匹配 ^\|\s*\*{0,2}E\d+，= tools/verify.ps1 的 allow-diff-registry 检查口径）
#       + 本目录 extra-registry.tsv 的「手工登记」补充源（主 agent 裁决、验收表冻结不许改的那些，如 E42）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
是什么	为什么	出处	何时消除
**E19**（新登记，片 3） · **引擎通用件的文字仍走 `UIFactory.DefaultFont()`**：`UIWidgets.LoadingLayer` 的「加载中...」与 `ToastLayer` 的 Toast（本工程用到的中文 Toast：`角色名已存在` / `背包已满` / `金币不足` …）。片 3 的实机违规扫描里它们**都报过**（探针 `[A54] ... 其中含非ASCII=2 [Label=加载中...][Label=角色名已存在]`）	这两个是**引擎通用件**（不在 `client/Assets/Scripts/`，改它=改引擎 API/行为，属契约层，须主 agent 决定；片 3 任务书明令"不许改契约"）。而"中文 0 处走默认字体"这条判据针对的是**本工程自己搭的 UI**：片 3 之后 `client/Assets/Scripts/**` 里中文全部走字模	引擎 `clover-client-unity-engine/Runtime/Presentation/UIWidgets.cs:460`（LoadingLayer）、同文件 ToastLayer 的 `UIFactory.CreateText` ｜ 登记行：策划/验收表.md:416	主 agent 决定是否给引擎加"文字渲染后端"钩子（**已消除：A5，2026-09-19，E-core-12**）。引擎新增 `ITextHook` / `TextHooks`（纯新增），`UIFactory.CreateText` 末尾统一通知挂钩；本项目注册 `D2EngineTextHook`（`Game.Launch` 前注册 + `CloverRes.Init` 后补挂）⇒ 引擎自带 Toast / Loading 也走原版字模。机检 `drawnNonAscii = 0` / `engineTexts=3 stillDrawnByUgui=0`；未注册时逐字等价（宿主 0 差异 + 13/13 语义断言 + 实机同路径对照）。证据 `〔本轮活证据 = `.ai-tmp/screenshots/x_evidence_run1.txt`（引擎 Toast/Loading 的实机行）+ `.ai-tmp/screenshots/w3_uigame_audit.tsv` D2Text 行〕`
**E20**（新登记，片 3） · **角色名输入框的可编辑文本**（`InputField.textComponent`）仍是 uGUI `Text` + `UIFactory.DefaultFont()`	uGUI `InputField` 的光标/选区/换行全按 `textComponent` 的 `TextGenerator` 算，**必须**是真实启用的 `Text`（换成字模方块则光标与选区失效）。它渲染的是**玩家键入的角色名（ASCII 字母）**，不是中文 ⇒ 不违反"中文 0 处走默认字体"	`client/Assets/Scripts/UI/UiArt.cs` 的 `Input(...)`（注释已就地写明）；实机 `[A54]` 扫描含非 ASCII 的启用 Text 里**没有**它 ｜ 登记行：策划/验收表.md:417	**裁决：不消除（维持登记）**。uGUI `InputField` 的光标/选区/换行全按 `textComponent` 的 `TextGenerator` 算 ⇒ 必须是真实启用的 `Text`；它渲染的是玩家键入的 ASCII 角色名（**不含中文**）⇒ 不违反"中文 0 处走默认字体"。要做"字模输入框"= 新增构件（光标/选区/滚动全自写），属与 1:1 复刻无关的工程投入 ⇒ **等有真实中文输入需求再开片**（A5 已结构上确认：`UiArt.Input` 是 `AddComponent<Text>()` 直建、**不经** `UIFactory.CreateText` ⇒ 挂钩碰不到它）
**E21**（新登记，片 4b） · **按钮文字的推进宽度比原版 prefab 的渲染窄约 11%**：本工程用原版**位图字模** `font16`（按原版字号 18 换算 `18/16` 后）`SINGLE PLAYER` = **129.4 原版px**；而原版 `WideButton.prefab` 引用的字体资产 `Diablo_light.TTF`（guid `eca957d2…`）在 `m_FontSize: 18` 下实测 **145 原版px**	这是**字面（face）差异**，不是字号差异：字高已对齐（本工程字面高 12.4 vs 原版 13 原版px，差 0.6px；10 个真实按钮文案上的推进比实测均值 1.311，区间 1.252~1.358）。**必须用原版位图字模**是 skill §2「字体」的硬要求（A 的中文/英文都是位图字体），而**推进宽度来自原版 `.tbl`**（`UI/D2Text.cs::AdvFont16`）⇒ 按 §0.5「不许自己定字距」**不改**	口径与两条实测出处写在 `client/Assets/Scripts/UI/UiLayoutFlow.cs::ButtonFontScale` 的注释里 ｜ 登记行：策划/验收表.md:418	拿到**原版 D2 主菜单实机截图**（见本表 R2 的基准缺口）后按图定夺字距；或由主 agent 裁决是否放弃位图字模、改用原版 TTF
**E22**（新登记，片 5） · **死亡屏的控件坐标是本项目新增排布**：内容栈 = 「标题条 / 提示行 / 按钮」三行，各行高 = 各自的原版像素高（54 / 25 / 32），行距固定 **15 原版px**，**整栈垂直居中于面板**（= 画布中心 (0,0)），x 一律居中	原版**该屏控件坐标没有出处**：参考工程 `Diablerie/Assets/Prefabs/` 里**没有 EndGame/死亡屏 prefab**（只有 ControlPanel / InventoryPanel / CharstatPanel / SkillPanel / SkillSlot / AvailableSkillsPanel / EnemyBar / LevelEntryTitle / MainMenu / ClassSelectMenu / WideButton / MediumButton），原版素材本身也没有画好的控件槽（底图是一整幅画）	`client/Assets/Scripts/UI/UiLayoutGame.cs` 的 `DeathBannerH / DeathHintH / DeathButtonH / DeathRowGap / DeathRowCenterY / DeathRects`（纯函数，`uicheck` 逐条断言"栈居中 + 同层两两不相交 + 都在面板内"） ｜ 登记行：策划/验收表.md:420	拿到**原版死亡屏实机截图**后按图定夺（用户提供）
**E23**（新登记，片 5；**2026-09-21 第三轮：改口径**） · **自动地图是"右上角定尺框 + 逐格点阵"**（原版是**满屏叠加层**、逐格按 `AutoMap.txt` 的 Cel 号取 `ui/AUTOMAP/MaxiMap.dc6` 的 **16×32** 小图 blit 到等距位置）。**★ 口径改动（本轮）**：① **配色改为「由原版 automap 家族素材（`AutoMapCenter_0` / `AutoMapParty_0` / `AutoMapOptions_0`）的实测像素派生」** —— 暗底 `#1C1C1C`、可行走 = 格心 1×1 点 `#484848`、阻挡 = 格心 2×2 小色块 `#C4C4C4`、出入口/可交互 = 格心 3×3 色块 `#C4C4C4` + 原版 `mapicon_*` 叠在其上（⛔ 不再是"自选蓝/黄/白"）；**② 画法改为超采样 4 的逐格点阵**（`SuperSample=4` ⇒ 每格填色 **6.25% / 25% / 56.25%**，旧版整格实心 = 100% = 用户报的"大色块棋盘"）③ 框位置/尺寸（右上角留 20、最大边 360）不变 ④ **已探索 = "本格 + 8 邻域"近似**	**色值的实测出处（同一族素材自己就是"暗石板底 + 浅灰线"）**：`D2/UI/Banner/AutoMapCenter_0.png`（120×34）实测 `#C4C4C4` **13.9%** / `#1C1C1C` **5.9%** / `#2C2C2C` 3.8% / `#484848` **3.2%**；`AutoMapParty_0.png`（96×34）`#C4C4C4` 14.3% / `#1C1C1C` 6.0% / `#484848` 2.5%；`AutoMapOptions_0.png`（222×54）`#C4C4C4` 15.2% / `#1C1C1C` 7.6% / `#484848` 1.4%；同族 8 帧 `mapicon_{0..7}` 是**白模板**（唯一色 `#F4F4F4`）⇒ 原版必须上色。**"原版那一族素材里没有窗口框"**这条仍成立（只有 `automap` / `AutoMapCenter` / `AutoMapParty` / `automapfade` / `AutoMapOptions` 几条横幅）	**量法（可复跑、脚本自带自断言）**：`python tools/probes/measure/w6_automap_palette.py`（打 5 张横幅 + 8 帧图标的像素直方图，并断言三个被引用的色值**真的出现在原版素材里**，否则 exit 1）；**离线复检** = `tools/probes/hosts/uicheck` **⑯** 的 `MiniMapAutomapSource()`（色值 `0x1C1C1C / 0x484848 / 0xC4C4C4` 必须在源码里 / `SuperSample = 4` / 三档面积 6.25% → 25% → 56.25% 严格递增且 ≤ 一格 / 三档边长 `FloorDotPx < BlockDotPx < ExitDotPx ≤ SuperSample`）；实机 = `.ai-tmp/screenshots/x_c4_minimap.png`（索引 `.ai-tmp/screenshots/x_contact.index.tsv` 格 C4）；逐控件对账 = `.ai-tmp/screenshots/w3_uigame_audit.tsv` 小地图 4 行 ｜ 登记行：策划/验收表.md:421	①③ 需主 agent 裁决「给 `MinimapArgs` 加逐格 Cel 字段」（= **契约变更**）；②④ 拿到原版 automap 图块素材后按原版 blit 口径重画（**素材本机不存在 ⇒ 见 E38**）；标记语义表见 BL-1 **已消除（2026-09-22 · 片 automap-render-fix · 判据）**：原版素材已在盘、并已按原版口径重画 —— `tools/probes/gen_automap.py` 读 `MaxiMap.dc6`（1260 帧 16×32）+ `AutoMap.txt`（2603 数据行 ×13 列）+ ACT1 `Pal.PL2` ⇒ `client/Assets/Scripts/Core/AutoMapCel.generated.cs`；面板 `client/Assets/Scripts/UI/MiniMapPanel.cs:130-291`。实机判据 = `.ai-tmp/screenshots/automap_contact_b1.index.tsv`（automap_sheet.py 13/13 PASS）+ `.ai-tmp/test/automap/automap_log_b1.txt` 的 GEOM=* 行。残余差异（逐格选取规则 / 帧号语义 / 揭示粒度）另立 **E45**
**E24**（新登记，片 5） · **死亡屏的提示行是本项目文案**：等待期「你倒下了…… 1.2 秒后可按「继续」（回罗格营地复活）」/ 点击后「正在复活……（等待 `D2.Player.Revived`）」/ 看门狗超时「复活未完成，请重试（回罗格营地）」	原版该屏**没有状态提示行**，原版串表里也**没有对应文案**（已查 `data/d2text/eng_string.txt` + `chi_string.txt` 各 5391 条、参考工程键名版 `string.txt` 4537 键）；但本项目「按钮延迟 1.2s 才可用 + 复活是**异步**的（要等 `Events.Revived`）」⇒ **必须有等待/失败反馈**（§7：非预期分支必须留痕，不能零提示卡在灰按钮上）	`client/Assets/Scripts/UI/DeathPanel.cs` 的 `WaitingText()` / `OnRevive` / `OnReviveTimeout` ｜ 登记行：策划/验收表.md:422	原版没有这一行；若主 agent 认为"1.2s 延迟 + 看门狗"可以去掉，本行随之删
**E28**（新） · **`MonsterTuning` 里 17 条 AI 节奏常量仍是"本项目新增"**（仇恨记忆 / 出手间隔 / 攻击动画时长 / 受击硬直 / 远程保持距离 / 萨满复活半径与回血比 / 逃跑三件套 / 后撤搜索半径 / 密度换算 / 精英保底 / 5 条守卫）	官方这些量**不是 txt 数值**，而是：① 写在**可执行程序的 AI 脚本**里（`AiParms.txt` 只给 `aip1..P4` 的**语义**）；② 或由 **`.cof` 动画帧数**决定（本项目没把逐怪 A1/GH 帧数解析成表）。逐条对照见 `数值对照.md` §2。⚠️ **本轮已按官方改掉的 3 条**：`RepathIntervalSeconds` 0.40→**0.60**、`ShamanReviveCooldownSeconds` 4.0→**0.60**（= `MonStats.aidel` 15 帧 ÷ 25 fps）、`CorpseLifetimeSeconds` 25→**20**（= `CORPSE_TTL` 500 帧 ÷ 25 fps）	`d2lod1.10txt/.../{MonStats,AiParms,Levels}.txt`；`libd2/.../gameserver.zig:675`（25 fps）、`:3604-3606`（CORPSE_TTL）、`montable.zig:50`（aidel 语义）、`monai.zig:139-149`（堕落者逃跑 = 同伴尸体 15 subtiles） ｜ 登记行：策划/验收表.md:446	① 解析 `.cof` 逐怪 A1/GH 帧数成表（可做，属后续片）；② `monster_c` 增 `aip1..8` 列（= 改契约）；③ 把堕落者逃跑改成"同伴尸体距离"（要动 `MonsterAi.cs`，不在本片归口）
**E29**（新） · **`SpeedToTilesPerSecond`（现值为 `0.2`：`client/Assets/Scripts/Module/Monster/MonsterTuning.cs:120`；`client/Assets/Scripts/Module/Skill/SkillTuning.cs:21` 另有一处 `= 0.50`）**（把官方 `MonStats.Velocity` 直接当"格/秒"用）	官方 `Velocity` 的**量纲**在本批材料里查不到出处：`MonStats.txt`/`AiParms.txt` 无说明；参考实现 `montable.zig` 只读 `AC/TH/DM/HP/res`；`ai.zig` 自称 "slice-level approximation … TODO"（**按本片口径不采信**）。旁证（**不是出处**）：玩家 `GameConst.PlayerWalkSpeed = 6.0` 与 `charstats.txt::WalkVelocity = 6` 同值	官方 `MonStats.txt::Velocity` / `charstats.txt::WalkVelocity`；`libd2/.../ai.zig:1-23`（**明确不采信**） ｜ 登记行：策划/验收表.md:447	拿到"Velocity 单位"的原版出处（反汇编或社区精确文档）后只改这一个常量
E2 · 区域名弹出加了淡入/淡出（原版无过渡）	原版 `LevelEntryTitle` 直接显示，本项目 0.4s 淡入/0.4s 淡出（本局首次进区才弹）	`UI/LevelEntryTitle.cs` ｜ 登记行：策划/验收表.md:471	不改（已定为本项目表现）
E3 · 区域名只在本局首次进该区弹一次（原版重复进同区会再弹）	去重写在 `LevelEntryTitle.ShowForFirstEntry`	`UI/LevelEntryTitle.cs` ｜ 登记行：策划/验收表.md:472	若要 1:1 可改为每次进区都弹
E4 · 商店底部**动作按钮的语义**（「修理」/「关闭」）是本项目新增（原版该处 4 个雕槽是交易控件）	参考工程 `Prefabs/` 无买卖屏 prefab；本轮已把**位置与艺术**收敛回底图：位置 = 底图右下雕出的 4 个方槽（实测 34×27，中心 原版 x=131.5/183.5/235.5/287.5、y≈381，pitch 52），艺术 = 原版方钮的**对应图形帧**（★ **片 10 修正**：旧值是帧 `0/1` = **空白石钮**；本轮读图定案 `buysellbtn.DC6` 18 帧 = **9 钮 × 常态/按下**，逐帧语义表见 `〔本轮活证据（2026-09-21 重采） = `.ai-tmp/screenshots/a12_shop_and_dialog.png`（联络图 .ai-tmp/screenshots/r1_contact.png 格 A12，索引 .ai-tmp/screenshots/r1_contact.index.tsv）〕` —— 修理 = 帧 **`2/3`**（锤子+铁砧）、关闭 = 帧 **`10/11`**（禁止符 ⊘）；其余 7 个图形的用途登记 **E31**）	`UI/ShopPanel.cs` `BuildBottomBar` + `UI/UiLayoutGame.cs` `ShopBottomSlot*` ｜ 登记行：策划/验收表.md:473	不改（已定为本项目表现）
E5 · ~~HUD 控制面板**底边出屏 51/1080 px**~~ ⇒ **已解决（2026 本轮）**	根因是**宽度比 ×2.4**（800×600 基准 ⇒ 948×2.4=2275.2>1920、600×2.4=1440>1080）。已改**按高度等比 ×1.8（=1080/600）+ 水平居中**（主 agent 裁决），并给 HUD 整组加**贴底抬升** 21.3 原版 px（原版控制面板底边本就比画布底边低 21.3、在 800×600 下被裁；宽屏下应与屏幕底边齐平）。实测 `[a29 现场]`（本轮）`canvas size=(1920,1080) scaleFactor=1`、`ControlPanel size=1706.4×288 screen=(960,144)`（y 从底算）⇒ **底边 y = 0 = 画布底边，不再出屏**；横向 1706.4 ≤ 1920（左右各留 106.8，交给相机）。`[离线] .ai-tmp/hosts/uicheck` 断言「HUD 控制面板**底边贴画布底边**（底边 y = −540）」= PASS	`UI/UiLayoutGame.cs`（`K = 1.8`、`HudBaseLift = 21.3`、`BottomY()`） ｜ 登记行：策划/验收表.md:474	**已消除**（无残余）
E6 · 资料片（LoD）职业专属装备**不进**生成/掉落/商店池	这 6 个 itemtype（`h2h/orb/pelt/phlm/ashd/head`，`item_c` 里 14 行）的原版图标只在资料片包里，本批**经典版**素材没有：逐名试探 `d2data.mpq`（listfile 11066 条 / items 597 条）**全部 MISS**、`patch_d2.mpq`（1140 条）**0 条 `items/*.dc6`**、磁盘 `Resources/Clover/D2/Items/` 348 张里也没有 ⇒ 生成了只能显示占位（用户报「商店没商品图标」的病根）	`Module/Item/ItemIconAvailability.cs` + `Module/Item/LootRoller.cs::CollectTierItems` ｜ 登记行：策划/验收表.md:475	拿到资料片素材，或把 `item_c` 收敛到经典版行集
