# 状态矩阵（T0 全量覆盖）—— 行数必须 == 实体清单的 Σ状态数
# 口径：状态取**枚举值 + 边界值**（阈值上下各一 / 0 / 上限 / 超界）；⛔ 不取"任意帧"、⛔ 不做笛卡尔全组合
# 「实测 / 结论 / 证据」三列本片**故意留空** = 红行（先出表后修，判据由后续按维度的片填）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
D1资源	bgm:bloodmoor	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav	载体在盘：client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav（42270644 字节）	一致	client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav
D1资源	bgm:bloodmoor	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav	键 BgmBloodMoor 的触发/消费点 1 处（client/Assets/Scripts/Module/Audio/AudioHook.cs:307）	一致	client/Assets/Scripts/Module/Audio/AudioHook.cs:307
D1资源	bgm:bloodmoor	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav	路径可达 client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav；SfxRegistry 登记键 BgmBloodMoor = "bloodmoor"（键即资源名）	一致	client/Assets/Scripts/Module/Audio/SfxRegistry.cs + client/Assets/Resources/Clover/Sound/BGM/bloodmoor.wav
D1资源	bgm:denofevil	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/Sound/BGM/denofevil.wav	载体在盘：client/Assets/Resources/Clover/Sound/BGM/denofevil.wav（20518012 字节）	一致	client/Assets/Resources/Clover/Sound/BGM/denofevil.wav
D1资源	bgm:denofevil	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/Sound/BGM/denofevil.wav	键 BgmDenOfEvil 的触发/消费点 1 处（client/Assets/Scripts/Module/Audio/AudioHook.cs:307）	一致	client/Assets/Scripts/Module/Audio/AudioHook.cs:307
D1资源	bgm:denofevil	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/Sound/BGM/denofevil.wav	路径可达 client/Assets/Resources/Clover/Sound/BGM/denofevil.wav；SfxRegistry 登记键 BgmDenOfEvil = "denofevil"（键即资源名）	一致	client/Assets/Scripts/Module/Audio/SfxRegistry.cs + client/Assets/Resources/Clover/Sound/BGM/denofevil.wav
D1资源	bgm:town	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/Sound/BGM/town.wav	载体在盘：client/Assets/Resources/Clover/Sound/BGM/town.wav（21805760 字节）	一致	client/Assets/Resources/Clover/Sound/BGM/town.wav
D1资源	bgm:town	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/Sound/BGM/town.wav	键 BgmTown 的触发/消费点 1 处（client/Assets/Scripts/Module/Audio/AudioHook.cs:307）	一致	client/Assets/Scripts/Module/Audio/AudioHook.cs:307
D1资源	bgm:town	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/Sound/BGM/town.wav	路径可达 client/Assets/Resources/Clover/Sound/BGM/town.wav；SfxRegistry 登记键 BgmTown = "town"（键即资源名）	一致	client/Assets/Scripts/Module/Audio/SfxRegistry.cs + client/Assets/Resources/Clover/Sound/BGM/town.wav
D1资源	pack:Objects/cave	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/cave/manifest.json:1 (kind=Objects tileCount=16)	目录在盘：client/Assets/Resources/Clover/D2/Objects/cave/（34 个条目，其中 PNG 16 张）	一致	client/Assets/Resources/Clover/D2/Objects/cave/
D1资源	pack:Objects/cave	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/cave/manifest.json:1 (kind=Objects tileCount=16)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/cave	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/cave/manifest.json:1 (kind=Objects tileCount=16)	取资源路径 client/Assets/Resources/Clover/D2/Objects/cave/ 可达（34 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/cave/
D1资源	pack:Objects/cave_door	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/cave_door/manifest.json:1 (kind=Objects tileCount=4)	目录在盘：client/Assets/Resources/Clover/D2/Objects/cave_door/（10 个条目，其中 PNG 4 张）	一致	client/Assets/Resources/Clover/D2/Objects/cave_door/
D1资源	pack:Objects/cave_door	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/cave_door/manifest.json:1 (kind=Objects tileCount=4)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/cave_door	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/cave_door/manifest.json:1 (kind=Objects tileCount=4)	取资源路径 client/Assets/Resources/Clover/D2/Objects/cave_door/ 可达（10 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/cave_door/
D1资源	pack:Objects/moor_bridge	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_bridge/manifest.json:1 (kind=Objects tileCount=20)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_bridge/（42 个条目，其中 PNG 20 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_bridge/
D1资源	pack:Objects/moor_bridge	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_bridge/manifest.json:1 (kind=Objects tileCount=20)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_bridge	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_bridge/manifest.json:1 (kind=Objects tileCount=20)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_bridge/ 可达（42 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_bridge/
D1资源	pack:Objects/moor_cliff1	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_cliff1/manifest.json:1 (kind=Objects tileCount=13)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_cliff1/（28 个条目，其中 PNG 13 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_cliff1/
D1资源	pack:Objects/moor_cliff1	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_cliff1/manifest.json:1 (kind=Objects tileCount=13)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_cliff1	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_cliff1/manifest.json:1 (kind=Objects tileCount=13)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_cliff1/ 可达（28 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_cliff1/
D1资源	pack:Objects/moor_cliff2	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_cliff2/manifest.json:1 (kind=Objects tileCount=13)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_cliff2/（28 个条目，其中 PNG 13 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_cliff2/
D1资源	pack:Objects/moor_cliff2	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_cliff2/manifest.json:1 (kind=Objects tileCount=13)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_cliff2	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_cliff2/manifest.json:1 (kind=Objects tileCount=13)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_cliff2/ 可达（28 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_cliff2/
D1资源	pack:Objects/moor_corner	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_corner/manifest.json:1 (kind=Objects tileCount=3)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_corner/（8 个条目，其中 PNG 3 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_corner/
D1资源	pack:Objects/moor_corner	被引用（有消费方）	阈值: 引用 0 处 = 未接线	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_corner/manifest.json:1 (kind=Objects tileCount=3)	区域布局 Packs[] 引用：是	一致	client/Assets/Scripts/Module/Map/MapGen{Town,Wild,Cave}Layout.cs 的 Packs[]
D1资源	pack:Objects/moor_corner	路径可达（引用路径与盘上一致）	阈值: 1 处指错 = 静默失效	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_corner/manifest.json:1 (kind=Objects tileCount=3)	取资源路径 client/Assets/Resources/Clover/D2/Objects/moor_corner/ 可达（8 个条目）	一致	client/Assets/Resources/Clover/D2/Objects/moor_corner/
D1资源	pack:Objects/moor_fence	存在（载体在盘）	阈值: 0 字节/缺文件 = 未产出	判据出处：client/Assets/Resources/Clover/D2/Objects/moor_fence/manifest.json:1 (kind=Objects tileCount=23)	目录在盘：client/Assets/Resources/Clover/D2/Objects/moor_fence/（48 个条目，其中 PNG 23 张）	一致	client/Assets/Resources/Clover/D2/Objects/moor_fence/
