行号	实体id	需要哪个官方表的哪一列/公式	我们这边的来源(文件:行 或 "空")	判据
4102	tbl:Affix(301 id)|id=1	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:2	公式求值相等
4103	tbl:Affix(301 id)|id=2	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:3	公式求值相等
4104	tbl:Affix(301 id)|id=3	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:4	公式求值相等
4105	tbl:Affix(301 id)|id=4	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:5	公式求值相等
4106	tbl:Affix(301 id)|id=5	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:6	公式求值相等
4107	tbl:Affix(301 id)|id=6	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:7	公式求值相等
4108	tbl:Affix(301 id)|id=7	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:8	公式求值相等
4109	tbl:Affix(301 id)|id=8	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:9	公式求值相等
4110	tbl:Affix(301 id)|id=9	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:10	公式求值相等
4111	tbl:Affix(301 id)|id=10	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:11	公式求值相等
4112	tbl:Affix(301 id)|id=11	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:12	公式求值相等
4113	tbl:Affix(301 id)|id=12	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:13	公式求值相等
4114	tbl:Affix(301 id)|id=13	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:14	公式求值相等
4115	tbl:Affix(301 id)|id=14	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:15	公式求值相等
4116	tbl:Affix(301 id)|id=15	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:16	公式求值相等
4117	tbl:Affix(301 id)|id=16	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:17	公式求值相等
4118	tbl:Affix(301 id)|id=17	MagicPrefix|MagicSuffix.txt:Name; 按官方 mod1code + mod1min/max 生成说明; 行来自哪张官方表（pre/suf）; …:level; …:levelreq; …:group; …:mod1code; …:mod1param; …:mod1min; …:mod1max; …:frequency; …:classspecific; …:class; …:itype1..itype7; …:etype1..etype3	client/Assets/StreamingAssets/Table/Affix.tsv:18	公式求值相等
